,scenario,month,decade,Site,Reach,proj_air_Temp_C,River,r_sq,sens_slope,sens_int,n_weeks,proj_h2o_Temp_C
82,rcp60,7,2010,Middle Kenai River,Middle,15,Kenai River,0.225786873,0.679855343,0.620260616,32,10.81809077
83,rcp60,7,2030,Middle Kenai River,Middle,15.60000038,Kenai River,0.225786873,0.679855343,0.620260616,32,11.22600423
84,rcp60,7,2060,Middle Kenai River,Middle,16.10000038,Kenai River,0.225786873,0.679855343,0.620260616,32,11.5659319
85,rcp60,7,2010,Middle Ptarmigan Creek,Middle,14,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,12.09792744
86,rcp60,7,2030,Middle Ptarmigan Creek,Middle,14.60000038,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,12.21492855
87,rcp60,7,2060,Middle Ptarmigan Creek,Middle,15.19999981,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,12.33192946
88,rcp60,7,2010,Middle Russian River,Middle,14.39999962,Russian River,0.506008585,0.678164465,5.544883549,23,15.31045158
89,rcp60,7,2030,Middle Russian River,Middle,15.10000038,Russian River,0.506008585,0.678164465,5.544883549,23,15.78516723
90,rcp60,7,2060,Middle Russian River,Middle,15.60000038,Russian River,0.506008585,0.678164465,5.544883549,23,16.12424946
91,rcp60,7,2010,Upper Beaver Creek,Upper,14.19999981,Beaver Creek,0.635163913,0.705447999,2.969947154,19,12.9873086
92,rcp60,7,2030,Upper Beaver Creek,Upper,14.89999962,Beaver Creek,0.635163913,0.705447999,2.969947154,19,13.48112206
93,rcp60,7,2060,Upper Beaver Creek,Upper,15.60000038,Beaver Creek,0.635163913,0.705447999,2.969947154,19,13.9749362
94,rcp60,7,2010,Upper Ptarmigan Creek,Upper,13.5,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,11.73189792
95,rcp60,7,2030,Upper Ptarmigan Creek,Upper,14.10000038,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,11.84693065
96,rcp60,7,2060,Upper Ptarmigan Creek,Upper,14.60000038,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,11.94279121
97,rcp60,7,2010,Upper Russian River,Upper,14.10000038,Russian River,0.347784781,0.669553152,5.0500815,23,14.4907812
98,rcp60,7,2030,Upper Russian River,Upper,14.69999981,Russian River,0.347784781,0.669553152,5.0500815,23,14.8925127
99,rcp60,7,2060,Upper Russian River,Upper,15.19999981,Russian River,0.347784781,0.669553152,5.0500815,23,15.22728928
100,rcp60,8,2010,Lower Beaver Creek,Lower,13.5,Beaver Creek,0.711428327,0.742543732,2.748754848,23,12.77309523
101,rcp60,8,2030,Lower Beaver Creek,Lower,14.10000038,Beaver Creek,0.711428327,0.742543732,2.748754848,23,13.21862175
102,rcp60,8,2060,Lower Beaver Creek,Lower,14.89999962,Beaver Creek,0.711428327,0.742543732,2.748754848,23,13.81265617
103,rcp60,8,2010,Lower Kenai River,Lower,13.5,Kenai River,0.376910884,0.724327052,2.24570342,24,12.02411862
104,rcp60,8,2030,Lower Kenai River,Lower,14.10000038,Kenai River,0.376910884,0.724327052,2.24570342,24,12.45871513
105,rcp60,8,2060,Lower Kenai River,Lower,14.80000019,Kenai River,0.376910884,0.724327052,2.24570342,24,12.96574393
106,rcp60,8,2010,Lower Ptarmigan Creek,Lower,13.39999962,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,12.09895927
107,rcp60,8,2030,Lower Ptarmigan Creek,Lower,13.89999962,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,12.25729867
108,rcp60,8,2060,Lower Ptarmigan Creek,Lower,14.69999981,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,12.51064177
109,rcp60,8,2010,Lower Russian River,Lower,14,Russian River,0.234887161,0.454758559,4.812120396,20,11.17874022
110,rcp60,8,2030,Lower Russian River,Lower,14.5,Russian River,0.234887161,0.454758559,4.812120396,20,11.4061195
111,rcp60,8,2060,Lower Russian River,Lower,15.30000019,Russian River,0.234887161,0.454758559,4.812120396,20,11.76992644
112,rcp60,8,2010,Middle Beaver Creek,Middle,13.5,Beaver Creek,0.651567977,0.638623921,3.774106508,23,12.39552945
113,rcp60,8,2030,Middle Beaver Creek,Middle,14.19999981,Beaver Creek,0.651567977,0.638623921,3.774106508,23,12.84256607
114,rcp60,8,2060,Middle Beaver Creek,Middle,14.89999962,Beaver Creek,0.651567977,0.638623921,3.774106508,23,13.28960269
115,rcp60,8,2010,Middle Kenai River,Middle,14,Kenai River,0.225786873,0.679855343,0.620260616,32,10.13823542
116,rcp60,8,2030,Middle Kenai River,Middle,14.5,Kenai River,0.225786873,0.679855343,0.620260616,32,10.4781631
117,rcp60,8,2060,Middle Kenai River,Middle,15.30000019,Kenai River,0.225786873,0.679855343,0.620260616,32,11.0220475
118,rcp60,8,2010,Middle Ptarmigan Creek,Middle,13.30000019,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,11.96142628
119,rcp60,8,2030,Middle Ptarmigan Creek,Middle,13.80000019,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,12.05892714
120,rcp60,8,2060,Middle Ptarmigan Creek,Middle,14.60000038,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,12.21492855
121,rcp60,8,2010,Middle Russian River,Middle,13.5,Russian River,0.506008585,0.678164465,5.544883549,23,14.70010382
122,rcp60,8,2030,Middle Russian River,Middle,14.10000038,Russian River,0.506008585,0.678164465,5.544883549,23,15.10700276
123,rcp60,8,2060,Middle Russian River,Middle,14.89999962,Russian River,0.506008585,0.678164465,5.544883549,23,15.64953381
124,rcp60,8,2010,Upper Beaver Creek,Upper,13.60000038,Beaver Creek,0.635163913,0.705447999,2.969947154,19,12.5640402
125,rcp60,8,2030,Upper Beaver Creek,Upper,14.19999981,Beaver Creek,0.635163913,0.705447999,2.969947154,19,12.9873086
126,rcp60,8,2060,Upper Beaver Creek,Upper,14.89999962,Beaver Creek,0.635163913,0.705447999,2.969947154,19,13.48112206
127,rcp60,8,2010,Upper Ptarmigan Creek,Upper,12.89999962,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,11.61686518
128,rcp60,8,2030,Upper Ptarmigan Creek,Upper,13.5,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,11.73189792
129,rcp60,8,2060,Upper Ptarmigan Creek,Upper,14.19999981,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,11.86610265
130,rcp60,8,2010,Upper Russian River,Upper,13.19999981,Russian River,0.347784781,0.669553152,5.0500815,23,13.88818298
131,rcp60,8,2030,Upper Russian River,Upper,13.69999981,Russian River,0.347784781,0.669553152,5.0500815,23,14.22295955
132,rcp60,8,2060,Upper Russian River,Upper,14.5,Russian River,0.347784781,0.669553152,5.0500815,23,14.7586022
133,rcp60,9,2010,Lower Beaver Creek,Lower,9.300000191,Beaver Creek,0.711428327,0.742543732,2.748754848,23,9.654411695
134,rcp60,9,2030,Lower Beaver Creek,Lower,9.699999809,Beaver Creek,0.711428327,0.742543732,2.748754848,23,9.951428905
135,rcp60,9,2060,Lower Beaver Creek,Lower,10.60000038,Beaver Creek,0.711428327,0.742543732,2.748754848,23,10.61971869
136,rcp60,9,2010,Lower Kenai River,Lower,9.300000191,Kenai River,0.376910884,0.724327052,2.24570342,24,8.981945141
137,rcp60,9,2030,Lower Kenai River,Lower,9.800000191,Kenai River,0.376910884,0.724327052,2.24570342,24,9.344108667
138,rcp60,9,2060,Lower Kenai River,Lower,10.69999981,Kenai River,0.376910884,0.724327052,2.24570342,24,9.996002737
139,rcp60,9,2010,Lower Ptarmigan Creek,Lower,8.899999619,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,10.67390466
140,rcp60,9,2030,Lower Ptarmigan Creek,Lower,9.300000191,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,10.80057636
141,rcp60,9,2060,Lower Ptarmigan Creek,Lower,10.10000038,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,11.05391947
142,rcp60,9,2010,Lower Russian River,Lower,9,Russian River,0.234887161,0.454758559,4.812120396,20,8.904947428
143,rcp60,9,2030,Lower Russian River,Lower,9.399999619,Russian River,0.234887161,0.454758559,4.812120396,20,9.086850678
144,rcp60,9,2060,Lower Russian River,Lower,10.39999962,Russian River,0.234887161,0.454758559,4.812120396,20,9.541609237
145,rcp60,9,2010,Middle Beaver Creek,Middle,9.300000191,Beaver Creek,0.651567977,0.638623921,3.774106508,23,9.713309099
146,rcp60,9,2030,Middle Beaver Creek,Middle,9.699999809,Beaver Creek,0.651567977,0.638623921,3.774106508,23,9.968758424
