"","Simulation","Sp","input_folder","fit.to","Init_W","fitting_value","First_day","Last_day","Ind","Oxycal","calc.nut","calc.contaminant","X_Pred","CONTEQ","calc.pop_mort","calc.spawn"
"34","2016_Mid-Summer_Lower Beaver Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2016_Mid-Summer_Lower Beaver Creek_Coho_Age_1","Weight",5.7968356,8.420242,1,28,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"35","2016_Mid-Summer_Middle Beaver Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2016_Mid-Summer_Middle Beaver Creek_Coho_Age_1","Weight",5.9638912,7.107329,1,30,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"36","2016_Mid-Summer_Upper Beaver Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2016_Mid-Summer_Upper Beaver Creek_Coho_Age_1","Weight",7.8706978,8.669878,1,30,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"37","2016_Mid-Summer_Lower Russian River_Coho_Age_0","Coho salmon (adult)","inputs/coho/2016_Mid-Summer_Lower Russian River_Coho_Age_0","Weight",1.7677993,2.071702,1,22,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"38","2016_Mid-Summer_Middle Russian River_Coho_Age_0","Coho salmon (adult)","inputs/coho/2016_Mid-Summer_Middle Russian River_Coho_Age_0","Weight",1.3751969,2.855019,1,37,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"39","2016_Mid-Summer_Middle Russian River_Coho_Age_1","Coho salmon (adult)","inputs/coho/2016_Mid-Summer_Middle Russian River_Coho_Age_1","Weight",6.8129218,9.381025,1,37,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"40","2016_Mid-Summer_Upper Russian River_Coho_Age_0","Coho salmon (adult)","inputs/coho/2016_Mid-Summer_Upper Russian River_Coho_Age_0","Weight",1.5774301,2.152696,1,27,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"41","2016_Mid-Summer_Upper Russian River_Coho_Age_1","Coho salmon (adult)","inputs/coho/2016_Mid-Summer_Upper Russian River_Coho_Age_1","Weight",9.7194748,8.287634,1,27,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"42","2016_Mid-Summer_Lower Ptarmigan Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2016_Mid-Summer_Lower Ptarmigan Creek_Coho_Age_1","Weight",5.5323586,7.74907,1,40,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"43","2016_Mid-Summer_Middle Ptarmigan Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2016_Mid-Summer_Middle Ptarmigan Creek_Coho_Age_1","Weight",8.0080209,9.355039,1,40,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"44","2016_Late Summer_Lower Beaver Creek_Chinook_Age_0","Chinook salmon (adult)","inputs/chnk/2016_Late Summer_Lower Beaver Creek_Chinook_Age_0","Weight",1.9412411,1.893367,1,27,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"45","2016_Late Summer_Middle Beaver Creek_Chinook_Age_0","Chinook salmon (adult)","inputs/chnk/2016_Late Summer_Middle Beaver Creek_Chinook_Age_0","Weight",2.4118221,2.683782,1,27,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"46","2016_Late Summer_Upper Beaver Creek_Chinook_Age_0","Chinook salmon (adult)","inputs/chnk/2016_Late Summer_Upper Beaver Creek_Chinook_Age_0","Weight",3.0134187,3.414496,1,26,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"47","2016_Late Summer_Lower Kenai River_Chinook_Age_0","Chinook salmon (adult)","inputs/chnk/2016_Late Summer_Lower Kenai River_Chinook_Age_0","Weight",2.181339,3.311285,1,30,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"48","2016_Late Summer_Middle Kenai River_Chinook_Age_0","Chinook salmon (adult)","inputs/chnk/2016_Late Summer_Middle Kenai River_Chinook_Age_0","Weight",2.4218063,2.436202,1,33,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"49","2016_Late Summer_Lower Beaver Creek_Coho_Age_0","Coho salmon (adult)","inputs/coho/2016_Late Summer_Lower Beaver Creek_Coho_Age_0","Weight",1.6818867,2.109341,1,27,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"50","2016_Late Summer_Lower Beaver Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2016_Late Summer_Lower Beaver Creek_Coho_Age_1","Weight",8.4202421,9.035871,1,27,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"51","2016_Late Summer_Middle Beaver Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2016_Late Summer_Middle Beaver Creek_Coho_Age_1","Weight",7.1073291,9.465504,1,27,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"52","2016_Late Summer_Upper Beaver Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2016_Late Summer_Upper Beaver Creek_Coho_Age_1","Weight",8.6698776,9.905455,1,26,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"53","2016_Late Summer_Lower Russian River_Coho_Age_0","Coho salmon (adult)","inputs/coho/2016_Late Summer_Lower Russian River_Coho_Age_0","Weight",2.0717025,1.797239,1,24,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"54","2016_Late Summer_Middle Russian River_Coho_Age_0","Coho salmon (adult)","inputs/coho/2016_Late Summer_Middle Russian River_Coho_Age_0","Weight",2.8550191,2.628101,1,28,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"55","2016_Late Summer_Upper Russian River_Coho_Age_0","Coho salmon (adult)","inputs/coho/2016_Late Summer_Upper Russian River_Coho_Age_0","Weight",2.152696,2.531421,1,38,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"56","2016_Late Summer_Lower Ptarmigan Creek_Coho_Age_0","Coho salmon (adult)","inputs/coho/2016_Late Summer_Lower Ptarmigan Creek_Coho_Age_0","Weight",3.0674263,3.123881,1,38,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"57","2016_Late Summer_Lower Kenai River_Coho_Age_0","Coho salmon (adult)","inputs/coho/2016_Late Summer_Lower Kenai River_Coho_Age_0","Weight",1.4599825,1.463266,1,30,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"58","2016_Late Summer_Middle Kenai River_Coho_Age_0","Coho salmon (adult)","inputs/coho/2016_Late Summer_Middle Kenai River_Coho_Age_0","Weight",1.2035601,1.330563,1,33,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
