"NRun","Run_Name","Species_Num","Species_txt","Initial_W","fit.to","fit.to.value","First_day","Last_day","N_indiv","Oxycal","calc.pop_mort","calc.spawn","calc.nut","calc.contaminant","Init_pred_conc","contam_eq","T_File","Diet_File","Prey_E_File","Indigest_Prey_File","Pred_E_File","Mort_File","Reprod_File","Contam_Prey_C_File","Contam_assim_File","Contam_TE_File","Phos_Ae_File","Phos_Co_Pred_File","Phos_Co_Prey_File","Nit_Ae_File","Nit_Co_Pred_File","Nit_Co_Prey_File","FB4_Log_File"
232,"mean_pval_rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0","21","Chinook salmon (adult)",3.1991386,"p-value",0.368164,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Temperature.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Diet_prop.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Prey_E.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Indigestible_Prey.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
233,"20plus_pval_rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0","21","Chinook salmon (adult)",3.1991386,"p-value",0.4417968,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Temperature.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Diet_prop.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Prey_E.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Indigestible_Prey.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
234,"20minus_pval_rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0","21","Chinook salmon (adult)",3.1991386,"p-value",0.2945312,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Temperature.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Diet_prop.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Prey_E.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Indigestible_Prey.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Ptarmigan Creek_Chinook_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
235,"mean_pval_rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0","22","Coho salmon (adult)",3.0674263,"p-value",0.129883,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Temperature.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Diet_prop.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Prey_E.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Indigestible_Prey.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
236,"20plus_pval_rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0","22","Coho salmon (adult)",3.0674263,"p-value",0.1558596,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Temperature.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Diet_prop.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Prey_E.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Indigestible_Prey.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
237,"20minus_pval_rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0","22","Coho salmon (adult)",3.0674263,"p-value",0.1039064,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Temperature.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Diet_prop.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Prey_E.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Indigestible_Prey.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
238,"mean_pval_rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1","22","Coho salmon (adult)",4.07234805,"p-value",0.297235857142857,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Temperature.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Diet_prop.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Prey_E.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Indigestible_Prey.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
239,"20plus_pval_rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1","22","Coho salmon (adult)",4.07234805,"p-value",0.356683028571429,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Temperature.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Diet_prop.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Prey_E.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Indigestible_Prey.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
240,"20minus_pval_rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1","22","Coho salmon (adult)",4.07234805,"p-value",0.237788685714286,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Temperature.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Diet_prop.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Prey_E.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Indigestible_Prey.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Ptarmigan Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
241,"mean_pval_rcp85_2060_2069_Middle Ptarmigan Creek_Coho_Age_1","22","Coho salmon (adult)",7.6373639,"p-value",0.297235857142857,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp85_2060_2069_Middle Ptarmigan Creek_Coho_Age_1/Temperature.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Ptarmigan Creek_Coho_Age_1/Diet_prop.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Ptarmigan Creek_Coho_Age_1/Prey_E.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Ptarmigan Creek_Coho_Age_1/Indigestible_Prey.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Ptarmigan Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
