"sim.start","sim.end","sim_name","SimDay"
146,259,"Middle Beaver Creek_Chinook_Age_0",45
146,259,"Middle Beaver Creek_Chinook_Age_0",46
146,259,"Middle Beaver Creek_Chinook_Age_0",47
146,259,"Middle Beaver Creek_Chinook_Age_0",48
146,259,"Middle Beaver Creek_Chinook_Age_0",49
146,259,"Middle Beaver Creek_Chinook_Age_0",50
146,259,"Middle Beaver Creek_Chinook_Age_0",51
146,259,"Middle Beaver Creek_Chinook_Age_0",52
146,259,"Middle Beaver Creek_Chinook_Age_0",53
146,259,"Middle Beaver Creek_Chinook_Age_0",54
146,259,"Middle Beaver Creek_Chinook_Age_0",55
146,259,"Middle Beaver Creek_Chinook_Age_0",56
146,259,"Middle Beaver Creek_Chinook_Age_0",57
146,259,"Middle Beaver Creek_Chinook_Age_0",58
146,259,"Middle Beaver Creek_Chinook_Age_0",59
146,259,"Middle Beaver Creek_Chinook_Age_0",60
146,259,"Middle Beaver Creek_Chinook_Age_0",61
146,259,"Middle Beaver Creek_Chinook_Age_0",62
146,259,"Middle Beaver Creek_Chinook_Age_0",63
146,259,"Middle Beaver Creek_Chinook_Age_0",64
146,259,"Middle Beaver Creek_Chinook_Age_0",65
146,259,"Middle Beaver Creek_Chinook_Age_0",66
146,259,"Middle Beaver Creek_Chinook_Age_0",67
146,259,"Middle Beaver Creek_Chinook_Age_0",68
146,259,"Middle Beaver Creek_Chinook_Age_0",69
146,259,"Middle Beaver Creek_Chinook_Age_0",70
146,259,"Middle Beaver Creek_Chinook_Age_0",71
146,259,"Middle Beaver Creek_Chinook_Age_0",72
146,259,"Middle Beaver Creek_Chinook_Age_0",73
146,259,"Middle Beaver Creek_Chinook_Age_0",74
146,259,"Middle Beaver Creek_Chinook_Age_0",75
146,259,"Middle Beaver Creek_Chinook_Age_0",76
146,259,"Middle Beaver Creek_Chinook_Age_0",77
146,259,"Middle Beaver Creek_Chinook_Age_0",78
146,259,"Middle Beaver Creek_Chinook_Age_0",79
146,259,"Middle Beaver Creek_Chinook_Age_0",80
146,259,"Middle Beaver Creek_Chinook_Age_0",81
146,259,"Middle Beaver Creek_Chinook_Age_0",82
146,259,"Middle Beaver Creek_Chinook_Age_0",83
146,259,"Middle Beaver Creek_Chinook_Age_0",84
146,259,"Middle Beaver Creek_Chinook_Age_0",85
146,259,"Middle Beaver Creek_Chinook_Age_0",86
146,259,"Middle Beaver Creek_Chinook_Age_0",87
146,259,"Middle Beaver Creek_Chinook_Age_0",88
146,259,"Middle Beaver Creek_Chinook_Age_0",89
146,259,"Middle Beaver Creek_Chinook_Age_0",90
146,259,"Middle Beaver Creek_Chinook_Age_0",91
146,259,"Middle Beaver Creek_Chinook_Age_0",92
146,259,"Middle Beaver Creek_Chinook_Age_0",93
146,259,"Middle Beaver Creek_Chinook_Age_0",94
146,259,"Middle Beaver Creek_Chinook_Age_0",95
146,259,"Middle Beaver Creek_Chinook_Age_0",96
146,259,"Middle Beaver Creek_Chinook_Age_0",97
146,259,"Middle Beaver Creek_Chinook_Age_0",98
146,259,"Middle Beaver Creek_Chinook_Age_0",99
146,259,"Middle Beaver Creek_Chinook_Age_0",100
146,259,"Middle Beaver Creek_Chinook_Age_0",101
146,259,"Middle Beaver Creek_Chinook_Age_0",102
146,259,"Middle Beaver Creek_Chinook_Age_0",103
146,259,"Middle Beaver Creek_Chinook_Age_0",104
146,259,"Middle Beaver Creek_Chinook_Age_0",105
